Column1;lesson_group_id;course_id;conspect_expected;task_expected;lesson_number;wk_max_points;wk_task_count;wk_survival_training_expected;wk_scratch_playground_enabled;wk_attendance_tracking_enabled;wk_video_duration
125;5795;757;ЛОЖЬ;ЛОЖЬ;21 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
143;5798;757;ЛОЖЬ;ЛОЖЬ;22 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
327;5801;757;ЛОЖЬ;ЛОЖЬ;23 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
199;5805;757;ЛОЖЬ;ЛОЖЬ;24 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
208;5808;757;ЛОЖЬ;ЛОЖЬ;25 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
331;5811;757;ЛОЖЬ;ЛОЖЬ;26 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
246;5814;757;ЛОЖЬ;ЛОЖЬ;27 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
236;5817;757;ЛОЖЬ;ЛОЖЬ;28 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
254;5820;757;ЛОЖЬ;ЛОЖЬ;29 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
126;5823;757;ЛОЖЬ;ЛОЖЬ;30 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
0;5553;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
19;5562;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
27;5559;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
28;5563;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
45;5751;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;2 
48;5757;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;8 
64;5554;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
84;5810;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
101;5557;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
107;5812;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;5 
111;5777;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;4 
112;5755;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;4 
115;5788;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;4 
116;5765;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;5 
121;5770;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;3 
122;5748;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;4 
123;5797;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;4 
127;5824;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
129;5794;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;7 
134;5804;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;4 
202;5780;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;4 
203;5760;757;ЛОЖЬ;ЛОЖЬ;;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
213;5807;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
221;5566;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
238;5758;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;4 
240;5749;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;5 
241;5791;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;4 
255;5787;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;5 
264;5764;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;4 
270;5806;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;3 
279;5747;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
289;5773;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;5 
300;5799;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;5 
303;5776;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;4 
304;5752;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;3 
305;5569;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
307;5767;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;4 
309;5568;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
318;5784;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;4 
319;5768;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;5 
322;5800;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;5 
325;5774;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;5 
329;5796;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;5 
332;5771;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;4 
335;5813;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
340;5754;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;6 
345;5779;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;7 
346;5783;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;5 
357;5790;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;5 
373;5822;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
375;5803;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;5 
381;5815;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
383;5818;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
385;5786;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;4 
396;5782;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;4 
411;5802;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;6 
412;5762;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;5 
419;5761;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;7 
435;5793;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;5 
437;5816;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
438;5819;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
466;5550;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
483;5809;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
509;5565;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
534;5552;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
535;5560;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
536;5821;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
571;5556;757;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
92;5571;758;ЛОЖЬ;ЛОЖЬ;1 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
6;5572;758;ЛОЖЬ;ЛОЖЬ;2 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
67;5573;758;ЛОЖЬ;ЛОЖЬ;3 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
5;5574;758;ЛОЖЬ;ЛОЖЬ;4 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
69;5611;758;ЛОЖЬ;ЛОЖЬ;5 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
91;5619;758;ЛОЖЬ;ЛОЖЬ;6 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
4;5652;758;ЛОЖЬ;ЛОЖЬ;7 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
3;5653;758;ЛОЖЬ;ЛОЖЬ;8 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
53;5654;758;ЛОЖЬ;ЛОЖЬ;9 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
162;5678;758;ЛОЖЬ;ЛОЖЬ;10 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
161;5691;758;ЛОЖЬ;ЛОЖЬ;11 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
167;5692;758;ЛОЖЬ;ЛОЖЬ;12 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
242;5825;758;ЛОЖЬ;ЛОЖЬ;13 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
245;5826;758;ЛОЖЬ;ЛОЖЬ;14 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
248;5827;758;ЛОЖЬ;ЛОЖЬ;15 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
250;5828;758;ЛОЖЬ;ЛОЖЬ;16 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
252;5829;758;ЛОЖЬ;ЛОЖЬ;17 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
258;5830;758;ЛОЖЬ;ЛОЖЬ;18 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
234;5831;758;ЛОЖЬ;ЛОЖЬ;19 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
239;5832;758;ЛОЖЬ;ЛОЖЬ;20 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
243;5833;758;ЛОЖЬ;ЛОЖЬ;21 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
119;6030;758;ЛОЖЬ;ЛОЖЬ;22 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
113;6031;758;ЛОЖЬ;ЛОЖЬ;23 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
133;6032;758;ЛОЖЬ;ЛОЖЬ;24 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
102;6033;758;ЛОЖЬ;ЛОЖЬ;25 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
108;6034;758;ЛОЖЬ;ЛОЖЬ;26 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
99;6035;758;ЛОЖЬ;ЛОЖЬ;27 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
98;6036;758;ЛОЖЬ;ЛОЖЬ;28 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
198;6037;758;ЛОЖЬ;ЛОЖЬ;29 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
17;6038;758;ЛОЖЬ;ЛОЖЬ;30 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
21;6039;758;ЛОЖЬ;ЛОЖЬ;31 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
29;6040;758;ЛОЖЬ;ЛОЖЬ;32 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
12;6041;758;ЛОЖЬ;ЛОЖЬ;33 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
25;6042;758;ЛОЖЬ;ЛОЖЬ;34 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
32;6043;758;ЛОЖЬ;ЛОЖЬ;35 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
60;6044;758;ЛОЖЬ;ЛОЖЬ;36 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
114;6045;758;ЛОЖЬ;ЛОЖЬ;37 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
117;6046;758;ЛОЖЬ;ЛОЖЬ;38 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
169;6047;758;ЛОЖЬ;ЛОЖЬ;39 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
173;6048;758;ЛОЖЬ;ЛОЖЬ;40 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
174;6049;758;ЛОЖЬ;ЛОЖЬ;41 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
160;6050;758;ЛОЖЬ;ЛОЖЬ;42 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
163;6051;758;ЛОЖЬ;ЛОЖЬ;43 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
164;6052;758;ЛОЖЬ;ЛОЖЬ;44 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
168;6053;758;ЛОЖЬ;ЛОЖЬ;45 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
187;6054;758;ЛОЖЬ;ЛОЖЬ;46 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
189;6055;758;ЛОЖЬ;ЛОЖЬ;47 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
170;6056;758;ЛОЖЬ;ЛОЖЬ;48 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
175;6057;758;ЛОЖЬ;ЛОЖЬ;49 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
178;6058;758;ЛОЖЬ;ЛОЖЬ;50 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
181;6059;758;ЛОЖЬ;ЛОЖЬ;51 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
148;6092;758;ЛОЖЬ;ЛОЖЬ;52 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
152;6093;758;ЛОЖЬ;ЛОЖЬ;53 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
154;6094;758;ЛОЖЬ;ЛОЖЬ;54 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
156;6095;758;ЛОЖЬ;ЛОЖЬ;55 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
136;6096;758;ЛОЖЬ;ЛОЖЬ;56 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
31;6097;758;ЛОЖЬ;ЛОЖЬ;57 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
35;6098;758;ЛОЖЬ;ЛОЖЬ;58 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
83;6099;758;ЛОЖЬ;ЛОЖЬ;59 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
82;6100;758;ЛОЖЬ;ЛОЖЬ;60 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
88;6101;758;ЛОЖЬ;ЛОЖЬ;61 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
86;6102;758;ЛОЖЬ;ЛОЖЬ;62 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
205;6103;758;ЛОЖЬ;ЛОЖЬ;63 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
229;6104;758;ЛОЖЬ;ЛОЖЬ;64 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
230;6105;758;ЛОЖЬ;ЛОЖЬ;65 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
231;6106;758;ЛОЖЬ;ЛОЖЬ;66 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
232;6107;758;ЛОЖЬ;ЛОЖЬ;67 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
233;6108;758;ЛОЖЬ;ЛОЖЬ;68 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
256;6109;758;ЛОЖЬ;ЛОЖЬ;69 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
271;6110;758;ЛОЖЬ;ЛОЖЬ;70 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
237;6142;758;ЛОЖЬ;ЛОЖЬ;71 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
249;6143;758;ЛОЖЬ;ЛОЖЬ;72 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
251;6144;758;ЛОЖЬ;ЛОЖЬ;73 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
301;6145;758;ЛОЖЬ;ЛОЖЬ;74 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
302;6146;758;ЛОЖЬ;ЛОЖЬ;75 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
274;6179;758;ЛОЖЬ;ЛОЖЬ;76 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
24;6180;758;ЛОЖЬ;ЛОЖЬ;77 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
36;6181;758;ЛОЖЬ;ЛОЖЬ;78 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
39;6182;758;ЛОЖЬ;ЛОЖЬ;79 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
40;6183;758;ЛОЖЬ;ЛОЖЬ;80 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
58;5612;759;ЛОЖЬ;ЛОЖЬ;1 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
61;5613;759;ЛОЖЬ;ЛОЖЬ;2 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
66;5614;759;ЛОЖЬ;ЛОЖЬ;3 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
59;5615;759;ЛОЖЬ;ЛОЖЬ;4 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
62;5616;759;ЛОЖЬ;ЛОЖЬ;5 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
70;5617;759;ЛОЖЬ;ЛОЖЬ;6 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
68;5618;759;ЛОЖЬ;ЛОЖЬ;7 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
314;5651;759;ЛОЖЬ;ЛОЖЬ;8 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
166;5837;760;ЛОЖЬ;ИСТИНА;1 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
451;5840;760;ЛОЖЬ;ИСТИНА;2 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
442;5843;760;ЛОЖЬ;ИСТИНА;3 ;7 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
165;5846;760;ЛОЖЬ;ИСТИНА;4 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
562;5849;760;ЛОЖЬ;ИСТИНА;5 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
171;5852;760;ЛОЖЬ;ЛОЖЬ;6 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
512;5855;760;ЛОЖЬ;ЛОЖЬ;7 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
420;5858;760;ЛОЖЬ;ЛОЖЬ;8 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
337;5861;760;ЛОЖЬ;ЛОЖЬ;9 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
355;5864;760;ЛОЖЬ;ЛОЖЬ;10 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
473;5869;760;ЛОЖЬ;ЛОЖЬ;11 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
450;5872;760;ЛОЖЬ;ЛОЖЬ;12 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
496;5875;760;ЛОЖЬ;ЛОЖЬ;13 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
481;5878;760;ЛОЖЬ;ЛОЖЬ;14 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
489;5881;760;ЛОЖЬ;ЛОЖЬ;15 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
575;5884;760;ЛОЖЬ;ЛОЖЬ;16 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
519;5887;760;ЛОЖЬ;ЛОЖЬ;17 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
549;5890;760;ЛОЖЬ;ЛОЖЬ;18 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
372;5893;760;ЛОЖЬ;ЛОЖЬ;19 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
358;5897;760;ЛОЖЬ;ЛОЖЬ;20 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
365;5900;760;ЛОЖЬ;ЛОЖЬ;21 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
448;5903;760;ЛОЖЬ;ЛОЖЬ;22 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
366;5906;760;ЛОЖЬ;ЛОЖЬ;23 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
449;5909;760;ЛОЖЬ;ЛОЖЬ;24 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
179;5912;760;ЛОЖЬ;ЛОЖЬ;25 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
120;5915;760;ЛОЖЬ;ЛОЖЬ;26 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
142;5919;760;ЛОЖЬ;ЛОЖЬ;27 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
56;5922;760;ЛОЖЬ;ЛОЖЬ;28 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
90;5925;760;ЛОЖЬ;ЛОЖЬ;29 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
182;5930;760;ЛОЖЬ;ЛОЖЬ;30 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
8;5927;760;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
10;5916;760;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
11;5920;760;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
73;5924;760;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
75;5917;760;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
96;5918;760;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
216;5914;760;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
217;5913;760;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
219;5931;760;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
281;5850;760;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
295;5926;760;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
334;5835;760;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
341;5848;760;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
342;5847;760;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
344;5851;760;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
347;5865;760;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
349;5862;760;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
350;5866;760;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
351;5867;760;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
354;5863;760;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
368;5892;760;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
369;5891;760;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
370;5880;760;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
